Date,Open,High,Low,Close,Adj Close,Volume
01/01/2014,16572.16992,16573.07031,16405.51953,16530.93945,16530.93945,3.24E+08
08/01/2014,16527.66016,16528.88086,16240.59961,16373.86035,16373.86035,4.83E+08
15/01/2014,16378.03027,16520.59961,16316.25,16414.43945,16414.43945,4.85E+08
22/01/2014,16420.48047,16453.49023,15783.54981,15928.55957,15928.55957,5.46E+08
29/01/2014,15927.08008,15927.08008,15356.16992,15445.24023,15445.24023,6.14E+08
05/02/2014,15443,16027.19043,15340.69043,15994.76953,15994.76953,4.98E+08
12/02/2014,15993.04004,16175.54981,15863.25,16130.40039,16130.40039,3.52E+08
19/02/2014,16126.23047,16300.04004,16006.58984,16179.66016,16179.66016,6.29E+08
26/02/2014,16180.36035,16419.49023,16071.25,16395.88086,16395.88086,5.03E+08
05/03/2014,16395.88086,16505.69922,16325.16992,16351.25,16351.25,3.77E+08
12/03/2014,16350.66992,16405.07031,16046.99023,16336.19043,16336.19043,4.18E+08
19/03/2014,16335.70996,16456.44922,16126.29004,16367.87988,16367.87988,7.35E+08
26/03/2014,16370.70996,16565.73047,16191.79004,16532.60938,16532.60938,4.65E+08
02/04/2014,16532.80078,16631.63086,16180.28027,16256.13965,16256.13965,4.75E+08
09/04/2014,16256.37012,16456.11914,16015.32031,16262.55957,16262.55957,5.12E+08
16/04/2014,16266.23047,16565.71094,16266.23047,16514.36914,16514.36914,3.95E+08
23/04/2014,16513.73047,16559.39063,16312.66016,16535.36914,16535.36914,4.25E+08
30/04/2014,16534.85938,16620.06055,16377.08984,16401.01953,16401.01953,3.92E+08
07/05/2014,16401.66016,16735.50977,16357.34961,16715.43945,16715.43945,3.87E+08
14/05/2014,16716.08008,16717.56055,16341.29981,16374.30957,16374.30957,4.55E+08
21/05/2014,16376.16992,16688.68945,16376.16992,16675.5,16675.5,2.78E+08
28/05/2014,16674.98047,16756.64063,16620.2207,16722.33984,16722.33984,3.49E+08
04/06/2014,16720,16970.16992,16673.65039,16945.91992,16945.91992,3.48E+08
11/06/2014,16943.16016,16943.16016,16703.73047,16808.49023,16808.49023,3.71E+08
18/06/2014,16806.11914,16978.01953,16755.28906,16818.13086,16818.13086,5.45E+08
25/06/2014,16817.67969,16998.69922,16746.08984,16956.07031,16956.07031,4.40E+08
02/07/2014,16949.71094,17074.65039,16874.78906,16906.61914,16906.61914,2.61E+08
09/07/2014,16916.83008,17120.33984,16805.38086,17060.67969,17060.67969,3.58E+08
16/07/2014,17061.91016,17151.56055,16966.18945,17113.53906,17113.53906,4.69E+08
23/07/2014,17117.00977,17121.05078,16877.7207,16912.10938,16912.10938,3.49E+08
30/07/2014,16920.10938,16983.93945,16369.54981,16429.4707,16429.4707,4.17E+08
06/08/2014,16425.09961,16627.99023,16333.78027,16560.53906,16560.53906,3.70E+08
13/08/2014,16567.53906,16929.13086,16567.53906,16919.58984,16919.58984,3.80E+08
20/08/2014,16910.0293,17153.80078,16896.55078,17106.69922,17106.69922,3.00E+08
27/08/2014,17111.0293,17134.59961,17009.07031,17067.56055,17067.56055,2.60E+08
03/09/2014,17067.24023,17161.55078,16993.28906,17013.86914,17013.86914,3.42E+08
10/09/2014,17016.05078,17167.05078,16937.66992,17131.9707,17131.9707,3.68E+08
17/09/2014,17131.00977,17350.64063,17055.86914,17055.86914,17055.86914,6.74E+08
24/09/2014,17056.64063,17226.59961,16934.42969,17042.90039,17042.90039,4.21E+08
01/10/2014,17040.46094,17099.39063,16674.03906,16719.39063,16719.39063,1.00E+09
08/10/2014,16718.65039,17006.91016,16273.63965,16315.19043,16315.19043,5.55E+08
15/10/2014,16313.29981,16620.7793,15855.12012,16614.81055,16614.81055,6.29E+08
22/10/2014,16615.25977,17006.44922,16459.84961,17005.75,17005.75,4.38E+08
29/10/2014,17005.07031,17410.65039,16895.38086,17383.83984,17383.83984,4.40E+08
05/11/2014,17385.75977,17638.21094,17385.75977,17614.90039,17614.90039,3.54E+08
12/11/2014,17604.75,17735.71094,17536.16992,17687.82031,17687.82031,3.87E+08
19/11/2014,17685.50977,17894.83008,17603.89063,17814.93945,17814.93945,4.66E+08
26/11/2014,17812.25,17897.05078,17726.55078,17879.55078,17879.55078,3.16E+08
03/12/2014,17880.90039,17991.18945,17629.57031,17801.19922,17801.19922,4.44E+08
10/12/2014,17797.99023,17797.99023,17067.58984,17068.86914,17068.86914,5.58E+08
17/12/2014,17069.16016,18069.2207,17069.16016,18024.16992,18024.16992,7.67E+08
24/12/2014,18035.73047,18103.44922,17959.69922,17983.07031,17983.07031,1.97E+08
31/12/2014,17987.66016,18043.2207,17262.36914,17371.64063,17371.64063,3.77E+08
07/01/2015,17374.7793,17923.00977,17374.7793,17613.67969,17613.67969,4.91E+08
14/01/2015,17609.06055,17609.06055,17243.55078,17515.23047,17515.23047,4.64E+08
21/01/2015,17509.96094,17840.89063,17288.31055,17387.21094,17387.21094,5.28E+08
28/01/2015,17402.91016,17670.75977,17037.75977,17666.40039,17666.40039,6.17E+08
04/02/2015,17664.99023,17951.08984,17603.21094,17868.75977,17868.75977,4.48E+08
11/02/2015,17867.85938,18052.00977,17759.65039,18047.58008,18047.58008,3.91E+08
18/02/2015,18045.7207,18231.08984,17878.36914,18209.18945,18209.18945,4.29E+08
25/02/2015,18208.66992,18288.63086,18122.58984,18203.36914,18203.36914,4.37E+08
04/03/2015,18203.36914,18203.36914,17662.93945,17662.93945,17662.93945,4.76E+08
11/03/2015,17662.93945,17988.5,17620.49023,17849.08008,17849.08008,5.12E+08
18/03/2015,17846.80078,18205.92969,17697.51953,18011.14063,18011.14063,7.58E+08
25/03/2015,18012.60938,18041.9707,17579.26953,17776.11914,17776.11914,5.51E+08
01/04/2015,17778.51953,17983.11914,17585.00977,17875.41992,17875.41992,3.64E+08
08/04/2015,17877.61914,18107.57031,17822.23047,18036.69922,18036.69922,4.83E+08
15/04/2015,18045.71094,18169.25977,17748.5293,17949.58984,17949.58984,5.40E+08
22/04/2015,17950.82031,18175.56055,17887.75977,18110.14063,18110.14063,5.57E+08
29/04/2015,18093.68945,18133.75977,17774.89063,17928.19922,17928.19922,5.04E+08
06/05/2015,17934.81055,18205.23047,17733.11914,18068.23047,18068.23047,4.52E+08
13/05/2015,18070.36914,18351.35938,18039.19922,18312.39063,18312.39063,4.51E+08
20/05/2015,18315.06055,18350.13086,17990.01953,18041.53906,18041.53906,3.53E+08
27/05/2015,18045.08008,18190.34961,17925.33008,18011.93945,18011.93945,4.67E+08
03/06/2015,18018.41992,18168.08984,17714.9707,17764.03906,17764.03906,4.33E+08
10/06/2015,17765.38086,18109.76953,17698.41992,17904.48047,17904.48047,4.40E+08
17/06/2015,17909.58008,18188.81055,17839.65039,18144.07031,18144.07031,5.99E+08
24/06/2015,18139.09961,18139.09961,17576.5,17619.50977,17619.50977,5.85E+08
01/07/2015,17638.11914,17825.49023,17465.67969,17776.91016,17776.91016,3.66E+08
08/07/2015,17759.00977,18072.82031,17496.2207,18053.58008,18053.58008,4.19E+08
15/07/2015,18053.38086,18137.11914,17868.33984,17919.28906,17919.28906,4.47E+08
22/07/2015,17918.34961,17919.34961,17399.16992,17630.26953,17630.26953,5.26E+08
29/07/2015,17631.40039,17783.58984,17496.60938,17550.68945,17550.68945,4.63E+08
05/08/2015,17555.24023,17661.36914,17279.08008,17402.83984,17402.83984,4.76E+08
12/08/2015,17382.92969,17568.40039,17125.81055,17511.33984,17511.33984,4.44E+08
19/08/2015,17508.74023,17517.18945,15370.33008,15666.44043,15666.44043,9.66E+08
26/08/2015,15676.25977,16669.9707,15676.25977,16058.34961,16058.34961,8.25E+08
02/09/2015,16058.34961,16550.07031,16026.61035,16492.67969,16492.67969,4.94E+08
09/09/2015,16505.03906,16664.65039,16212.08008,16599.84961,16599.84961,5.32E+08
16/09/2015,16599.50977,16933.42969,16221.73047,16330.46973,16330.46973,7.81E+08
23/09/2015,16332.80957,16465.23047,15942.37012,16049.12988,16049.12988,6.00E+08
30/09/2015,16057.08008,16865.08984,16013.66016,16790.18945,16790.18945,6.42E+08
07/10/2015,16805.41992,17172.81055,16765,17081.89063,17081.89063,4.92E+08
14/10/2015,17079.08008,17264.88086,16887.66992,17217.10938,17217.10938,6.14E+08
21/10/2015,17225.92969,17679.36914,17153.13086,17581.42969,17581.42969,6.48E+08
28/10/2015,17586.68945,17977.84961,17556.71094,17918.15039,17918.15039,5.48E+08
04/11/2015,17929.58008,17964.11914,17657.7207,17758.21094,17758.21094,5.36E+08
11/11/2015,17769.5,17807.17969,17210.42969,17489.5,17489.5,6.48E+08
18/11/2015,17485.49023,17914.33984,17485.49023,17812.18945,17812.18945,6.36E+08
25/11/2015,17820.81055,17895.5,17719.7207,17888.34961,17888.34961,4.25E+08
02/12/2015,17883.14063,17901.58008,17425.56055,17568,17568,5.81E+08
09/12/2015,17558.17969,17767.68945,17138.4707,17524.91016,17524.91016,6.30E+08
16/12/2015,17530.84961,17796.75977,17116.73047,17417.26953,17417.26953,7.91E+08
23/12/2015,17427.63086,17750.01953,17427.63086,17720.98047,17720.98047,2.63E+08
30/12/2015,17711.93945,17714.13086,16957.63086,17158.66016,17158.66016,4.07E+08
06/01/2016,17154.83008,17154.83008,16232.03027,16516.2207,16516.2207,6.84E+08
13/01/2016,16526.63086,16593.50977,15842.11035,16016.01953,16016.01953,6.96E+08
20/01/2016,15989.4502,16185.79004,15450.55957,16167.23047,16167.23047,7.24E+08
27/01/2016,16168.74023,16510.98047,15863.71973,16153.54004,16153.54004,7.27E+08
03/02/2016,16186.2002,16485.83984,15803.54981,16014.37988,16014.37988,7.06E+08
10/02/2016,16035.61035,16201.88965,15503.00977,16196.41016,16196.41016,5.69E+08
17/02/2016,16217.98047,16664.24023,16217.98047,16431.7793,16431.7793,5.64E+08
24/02/2016,16418.83984,16865.56055,16165.86035,16865.08008,16865.08008,5.17E+08
02/03/2016,16851.16992,17099.25,16766.32031,16964.09961,16964.09961,5.11E+08
09/03/2016,16969.16992,17275.07031,16821.85938,17251.5293,17251.5293,5.47E+08
16/03/2016,17249.33984,17648.93945,17204.07031,17582.57031,17582.57031,7.38E+08
23/03/2016,17588.81055,17642.81055,17399.00977,17633.10938,17633.10938,3.25E+08
30/03/2016,17652.35938,17811.48047,17568.01953,17603.32031,17603.32031,4.87E+08
06/04/2016,17605.44922,17744.42969,17484.23047,17721.25,17721.25,4.58E+08
13/04/2016,17741.66016,18103.46094,17741.66016,18053.59961,18053.59961,4.74E+08
20/04/2016,18059.49023,18167.63086,17855.55078,17990.32031,17990.32031,5.13E+08
27/04/2016,17996.14063,18084.66016,17651.98047,17750.91016,17750.91016,5.24E+08
04/05/2016,17735.01953,17934.60938,17580.38086,17928.34961,17928.34961,4.18E+08
11/05/2016,17919.0293,17919.0293,17469.91992,17529.98047,17529.98047,4.54E+08
18/05/2016,17501.2793,17742.58984,17331.07031,17706.05078,17706.05078,4.61E+08
25/05/2016,17735.08984,17899.24023,17724.0293,17787.19922,17787.19922,3.69E+08
01/06/2016,17754.55078,18003.23047,17664.78906,17938.2793,17938.2793,3.87E+08
08/06/2016,17931.91016,18016,17595.78906,17674.82031,17674.82031,4.27E+08
15/06/2016,17703.65039,17946.35938,17471.28906,17829.73047,17829.73047,6.19E+08
